#,Seq.,Album,Song,Spotify total,Spotify daily,AOD total
269,279,Features,BEEN AROUND,"94,327",34,"174,958"
284,268,Features,Get Real Right,"40,943",29,"75,941"
264,291,Features,Fashion Week,"150,893",28,"279,877"
268,272,Features,Inside Day,"100,889",28,"187,130"
281,271,Features,Not Today,"51,397",28,"95,331"
293,226,Features,collateral,"16,272",27,"30,181"
279,269,Features,Too in!,"55,327",24,"102,621"
283,289,Features,Gas It!,"44,131",23,"81,854"
272,223,Features,Ace of spades,"88,646",22,"164,421"
287,267,Features,Serving,"31,048",22,"57,588"
280,270,Features,inside today,"53,819",21,"99,824"
291,266,Features,Goonie (ZaZa) [feat. KanKan & Yeat],"20,811",19,"38,600"
286,265,Features,Toö in,"31,984",12,"59,324"
292,242,Features,Spill,"17,984",10,"33,356"
289,264,Features,Chanelly - Remix,"30,132",9,"55,889"
299,234,Features,Jumbo Jet,"11,088",7,"20,566"
296,283,Features,Bandaid,"12,828",6,"23,793"
298,236,Features,I Swear,"12,022",6,"22,298"
301,231,Features,40,"10,635",6,"19,725"
294,230,Features,No Links,"14,642",5,"27,158"
295,237,Features,Poppin' Tags,"12,993",5,"24,099"
297,235,Features,Cannonball,"12,218",4,"22,662"
303,233,Features,Autopilot,"8,770",4,"16,266"
305,227,Features,Side Bitch Finished,"4,376",4,"8,116"
300,241,Features,What it Do,"10,860",3,"20,143"
122,216,Cali,Cali,"9,902,973",1,"18,368,143"
226,302,Features,Twizardry,"599,618",0,"1,112,178"
263,304,Features,Mud,"152,146",0,"282,202"
270,305,Features,Geeker!,"91,783",0,"170,240"
271,222,Features,Urus,"90,388",0,"167,652"
275,220,Features,Wake Up,"84,674",0,"157,054"
276,301,Features,Minding My Bizness,"73,390",0,"136,124"
278,303,Features,PradaBalenci,"70,123",0,"130,064"
288,217,Features,Fair,"30,463",0,"56,503"
290,300,Features,Personalities,"24,847",0,"46,086"
302,219,Features,Calm Down,"10,137",0,"18,802"
304,299,Features,Outlandish,"8,070",0,"14,968"
